Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Dhar, A; Mukherjee, H; Dash, NS; Roy, K",,,,"Dhar, Ankita; Mukherjee, Himadri; Dash, Niladri Sekhar; Roy, Kaushik",,,Text categorization: past and present,ARTIFICIAL INTELLIGENCE REVIEW,,,,,,,,,,,,"Automatic text categorization is the operation of sorting out the text documents into pre-defined text categories using some machine learning algorithms. Normally, it defines the most important approaches to organizing and making the use of a large volume of information exists in unstructured form. Nowadays, text categorization is becoming an extensively researched field of text mining and processing of languages. Word sense, semantic relationships among terms, text documents and categories are quite essential in order of enhancing the performances of categorization. Various surveys on text categorization have already been available which involve techniques of various text representation schemes to such extent but do not include several approaches that have been explored in text categorization over the standard techniques. Here, an exhaustive analysis of different text categorization approaches over the conventional approaches has been undertaken. This survey paper explores a wide variety of algorithms used for categorizing text documents and tries to assemble the existing works into three basic fields: conventional methods, fuzzy logic-based methods, deep learning-based methods. Further, conventional methods have been categorized into three fields: text categorization using handcrafted features, text categorization using nature-inspired algorithms and text categorization using graph-based methods. Furthermore, this survey provides a clear idea about the available libraries used for different algorithms, availability of datasets, categorization technologies explored in various non-Indian and Indian languages as well.",,,,,"Roy, Kaushik/O-7021-2019","Roy, Kaushik/0000-0002-3360-7576",,,,,,,,,,,,,0269-2821,1573-7462,,,,APR,2021.0,54.0,4,,,,,3007.0,3054.0,,10.1007/s10462-020-09919-1,0.0,,SEP 2020,,,,,,,,,,,WOS:000574081800001,0
J,"Singh, H; Sharma, RK; Singh, VP",,,,"Singh, Harjeet; Sharma, R. K.; Singh, V. P.",,,Online handwriting recognition systems for Indic and non-Indic scripts: a review,ARTIFICIAL INTELLIGENCE REVIEW,,,,,,,,,,,,"Handwriting recognition is one of the challenging tasks in the area of pattern recognition and machine learning. Handwriting recognition has two flavors, namely, Offline Handwriting Recognition and Online Handwriting Recognition. Though, saturation level has been achieved in machine printed (Offline) character recognition. Presently, due to dramatical development in IT sector, touch-based devices are available in the market with efficient processing capabilities. With this revolution, research in the area of handwriting recognition has become more popular in real-time (Online) mode. In this paper, a comprehensive review has been reported for online handwriting recognition of non-Indic and Indic scripts. The six non-Indic-scripts and eight Indic script namely, Arabic, Chinese, Japanese, Persian, Roman, Thai, and, Assamese, Bangla, Devanagari, Gurmukhi, Kannada, Malayalam, Tamil, Telugu, respectively have been considered in this article. This study comprises introduction of online handwriting recognition process, various challenges, motivations, feature extraction, and classification methodologies, used for recognizing the various scripting languages. Moreover, an effort has been made to provide the list of publicly available online handwritten dataset for various scripting languages. This study also provides the recognition and beneficial assistance to the novice researchers in field of handwriting recognition by providing a nut shell studies of various feature extraction strategies and classification techniques, used for the recognition of both Indic and non-Indic scripts.",,,,,"SHARMA, RAJENDRA KUMAR/AAZ-7942-2020; Singh, Harjeet/AAE-4215-2020; University, Chitkara/AAZ-3040-2021","Singh, Harjeet/0000-0002-9760-5166; University, Chitkara/0000-0003-3776-7136",,,,,,,,,,,,,0269-2821,1573-7462,,,,FEB,2021.0,54.0,2,,,,,1525.0,1579.0,,10.1007/s10462-020-09886-7,0.0,,AUG 2020,,,,,,,,,,,WOS:000557868400001,0
J,"Talatahari, S; Azizi, M",,,,"Talatahari, Siamak; Azizi, Mahdi",,,Chaos Game Optimization: a novel metaheuristic algorithm,ARTIFICIAL INTELLIGENCE REVIEW,,,,,,,,,,,,"In this paper, a novel metaheuristic algorithm called Chaos Game Optimization (CGO) is developed for solving optimization problems. The main concept of the CGO algorithm is based on some principles of chaos theory in which the configuration of fractals by chaos game concept and the fractals self-similarity issues are in perspective. A total number of 239 mathematical functions which are categorized into four different groups are collected to evaluate the overall performance of the presented novel algorithm. In order to evaluate the results of the CGO algorithm, three comparative analysis with different characteristics are conducted. In the first step, six different metaheuristic algorithms are selected from the literature while the minimum, mean and standard deviation values alongside the number of function evaluations for the CGO and these algorithms are calculated and compared. A complete statistical analysis is also conducted in order to provide a valid judgment about the performance of the CGO algorithm. In the second one, the results of the CGO algorithm are compared to some of the recently developed fractal- and chaos-based algorithms. Finally, the performance of the CGO algorithm is compared to some state-of-the-art algorithms in dealing with the state-of-the-art mathematical functions and one of the recent competitions on single objective real-parameter numerical optimization named CEC 2017 is considered as numerical examples for this purpose. In addition, a computational cost analysis is also conducted for the presented algorithm. The obtained results proved that the CGO is superior compared to the other metaheuristics in most of the cases.",,,,,"Talatahari, Siamak/ABD-3238-2020; Azizi/AAQ-8367-2020","Talatahari, Siamak/0000-0002-1211-7148; Azizi/0000-0002-2364-2757",,,,,,,,,,,,,0269-2821,1573-7462,,,,FEB,2021.0,54.0,2,,,,,917.0,1004.0,,10.1007/s10462-020-09867-w,0.0,,JUN 2020,,,,,,,,,,,WOS:000542075000001,0
J,"Yalcin, ON; DiRaola, S",,,,"Yalcin, Ozge Nilay; DiRaola, Steve",,,Modeling empathy: building a link between affective and cognitive processes,ARTIFICIAL INTELLIGENCE REVIEW,,,,,,,,,,,,"Computational modeling of empathy has recently become an increasingly popular way of studying human relations. It provides a way to increase our understanding of the link between affective and cognitive processes and enhance our interaction with artificial agents. However, the variety of fields contributing to empathy research has resulted in isolated approaches to modeling empathy, and this has led to various definitions of empathy and an absence of common ground regarding underlying empathic processes. Although this diversity may be useful in that it allows for an in-depth examination of various processes linked to empathy, it also may not yet provide a coherent theoretical picture of empathy. We argue that a clear theoretical positioning is required for collective progress. The aim of this article is, therefore, to call for a holistic and multilayered view of a model of empathy, taken from the rich background research from various disciplines. To achieve this, we present a comprehensive background on the theoretical foundations, followed by the working definitions, components, and models of empathy that are proposed by various fields. Following this introduction, we provide a detailed review of the existing techniques used in AI research to model empathy in interactive agents, focusing on the strengths and weaknesses of each approach. We conclude with a discussion of future directions in this emerging field.",,,,,"Yalcin, Nilay/GPX-4160-2022","Yalcin, Nilay/0000-0002-8898-0466",,,,,,,,,,,,,0269-2821,1573-7462,,,,APR,2020.0,53.0,4,,,,,2983.0,3006.0,,10.1007/s10462-019-09753-0,0.0,,,,,,,,,,,,,WOS:000524414900020,0
J,"Chen, DB; Lu, RQ; Li, SW; Zou, F; Liu, YJ",,,,"Chen, Debao; Lu, Renquan; Li, Suwen; Zou, Feng; Liu, Yajun",,,An enhanced colliding bodies optimization and its application,ARTIFICIAL INTELLIGENCE REVIEW,,,,,,,,,,,,"Colliding bodies optimization (CBO) is a recently proposed algorithm, and there are no algorithm-specific parameters that should be previously determined in updating equations of bodies. CBO has been used to solve various optimization problems because of its simple structure. However, CBO suffers from low convergence speed and premature convergence. To enhance CBO's performance, a new variant named learning strategy based colliding bodies optimization (LSCBO), which is based on the learning strategy of the Teaching-learning-based optimization algorithm (TLBO), is proposed in this paper. In this method, a hybrid strategy combining the colliding process of CBO and the learning process of TLBO is proposed to generate new positions of the bodies. Compared with some other CBO variants, the guidance of the best individual is introduced to improve the convergence speed of CBO, and a random mutation method based on the historic information is designed to help bodies escape from local optima. Moreover, a new method for determining the mass of bodies is designed to avoid computation overflow. To evaluate the effectiveness of LSCBO, 47 benchmark functions and three real-world structural design problems are tested in the simulation experiments, and the results are compared with those of other well-known meta-heuristic algorithms. The statistical simulation results indicate that the performance of CBO is obviously improved by the developed method.",,,,,"chen, debao/G-8258-2016","chen, debao/0000-0002-0179-387X; Zou, Feng/0000-0001-5373-8779",,,,,,,,,,,,,0269-2821,1573-7462,,,,FEB,2020.0,53.0,2,,,,,1127.0,1186.0,,10.1007/s10462-019-09691-x,0.0,,,,,,,,,,,,,WOS:000513275100011,0
J,"Kumar, M; Jindal, MK; Sharma, RK; Jindal, SR",,,,"Kumar, Munish; Jindal, M. K.; Sharma, R. K.; Jindal, Simpel Rani",,,Character and numeral recognition for non-Indic and Indic scripts: a survey,ARTIFICIAL INTELLIGENCE REVIEW,,,,,,,,,,,,"A collection of different scripts is employed in writing languages throughout the world. Character and numeral recognition of a particular script is a key area in the field of pattern recognition. In this paper, we have presented a comprehensive survey on character and numeral recognition of non-Indic and Indic scripts. Many researchers have done work on character and numeral recognition from the most recent couple of years. In perspective of this, few strategies for character/numeral have been developed so far. There are an immense number of frameworks available for printed and handwritten character recognition for non-Indic scripts. But, only a limited number of systems are offered for character/numeral recognition of Indic scripts. However, few endeavors have been made on the recognition of Bangla, Devanagari, Gurmukhi, Kannada, Oriya and Tamil scripts. In this paper, we have additionally examined major challenges/issues for character/numeral recognition. The efforts in two directions (non-Indic and Indic scripts) are reflected in this paper. When compared with non-Indic scripts, the research on character recognition of Indic scripts has not achieved that perfection yet. The techniques used for recognition of non-Indic scripts may be used for recognition of Indic scripts (printed/handwritten text) and vice versa to improve the recognition rates. It is also noticed that the research in this field is quietly thin and still more research is to be done, particularly in the case of handwritten Indic scripts documents.",,,,,"SHARMA, RAJENDRA KUMAR/AAZ-7942-2020; Jindal, Manish/AAU-8820-2021; Kumar, Munish/P-7756-2018","Kumar, Munish/0000-0003-0115-1620",,,,,,,,,,,,,0269-2821,1573-7462,,,,DEC,2019.0,52.0,4,,,,,2235.0,2261.0,,10.1007/s10462-017-9607-x,0.0,,,,,,,,,,,,,WOS:000491051000003,0
J,"Al-Aswadi, FN; Chan, HY; Gan, KH",,,,"Al-Aswadi, Fatima N.; Chan, Huah Yong; Gan, Keng Hoon",,,Automatic ontology construction from text: a review from shallow to deep learning trend,ARTIFICIAL INTELLIGENCE REVIEW,,,,,,,,,,,,"The explosive growth of textual data on the web coupled with the increase on demand for ontologies to promote the semantic web, have made the automatic ontology construction from the text a very promising research area. Ontology learning (OL) from text is a process that aims to (semi-) automatically extract and represent the knowledge from text in machine-readable form. Ontology is considered one of the main cornerstones of representing the knowledge in a more meaningful way on the semantic web. Usage of ontologies has proven to be beneficial and efficient in different applications (e.g. information retrieval, information extraction, and question answering). Nevertheless, manually construction of ontologies is time-consuming as well extremely laborious and costly process. In recent years, many approaches and systems that try to automate the construction of ontologies have been developed. This paper reviews various approaches, systems, and challenges of automatic ontology construction from the text. In addition, it also discusses ways the ontology construction process could be enhanced in the future by presenting techniques from shallow learning to deep learning (DL).",,,,,"Chan, Huah Yong/A-8326-2011; AL-Aswadi, Fatima N./AAG-8319-2020; Gan, Keng Hoon/D-1734-2016","Chan, Huah Yong/0000-0002-2186-6597; AL-Aswadi, Fatima N./0000-0001-5413-1207; Gan, Keng Hoon/0000-0002-2972-3523",,,,,,,,,,,,,0269-2821,1573-7462,,,,AUG,2020.0,53.0,6,,,,,3901.0,3928.0,,10.1007/s10462-019-09782-9,0.0,,NOV 2019,,,,,,,,,,,WOS:000495047300001,0
J,"Chen, N; Liu, WJ; Bai, RZ; Chen, A",,,,"Chen, Ning; Liu, Wenjing; Bai, Ruizhen; Chen, An",,,Application of computational intelligence technologies in emergency management: a literature review,ARTIFICIAL INTELLIGENCE REVIEW,,,,,,,,,,,,"Due to the frequently occurring disasters in the world, emergency management is an attractive research area aiming to stabilize the disasters and reduce the potential damage to human, facility and environment. The timely and effective emergency management is highly relied on the utilization of observable information and the integration of available resources. Computational intelligence is one of the fastest growing areas in the field of computer technology. Nowadays, big data has brought ever-increasing impact and challenge to effective data processing and intelligent decision-making. Computation intelligence technologies play a vital role during the lifecycle of emergency management in the context of big data. This review provides a comprehensive survey of state-of-the-art computation intelligence technologies widely applied in the emergency management, and summarizes the present-day emergency management systems in diverse industries. Finally, some promising future research directions and challenges are indicated.",,,,,,,,,,,,,,,,,,,0269-2821,1573-7462,,,,OCT,2019.0,52.0,3,,,,,2131.0,2168.0,,10.1007/s10462-017-9589-8,0.0,,,,,,,,,,,,,WOS:000486256400020,0
J,"Azmi, AM; Al-Qabbany, AO; Hussain, A",,,,"Azmi, Aqil M.; Al-Qabbany, Abdulaziz O.; Hussain, Amir",,,Computational and natural language processing based studies of hadith literature: a survey,ARTIFICIAL INTELLIGENCE REVIEW,,,,,,,,,,,,"Hadith is one of the most celebrated resources of Classical Arabic text. The hadiths, or Prophetic traditions (tradition for short), are narrations originating from the sayings and conduct of Prophet Muhammad. For Muslims, hadiths are the second most important source of Islamic jurisprudence after the Holy Qur'an. Each hadith consists of two parts, isnad and matn. Matn represents the actual text of the hadith, while isnad unwinds the chain of the authorities which precede and introduce the matn, the succession of people through whose channel the hadith reaches the last transmitter. The hadith corpus is huge and runs into hundreds of volumes. It has an even larger supporting work, e.g., commentaries, biographic material etc. Recently, there has been a renewed interest of this important subject by non-specialists. There are many research studies which have been published regarding hadith, specifically applying computational and natural language processing (NLP) techniques to help address some of the outstanding issues, or derive new insight into this classic resource. This paper surveys all major works that have addressed the subject of hadith through various computational and NLP methods, grouping them under three categories: hadith content-based studies, narration-based studies, and overall studies. We also take an in-depth look into pioneering works with many details appearing for the first time. Finally, we outline future research directions in Arabic hadith literature, including novel application of emerging natural language concept based sentiment and emotion mining techniques.",,,,,"Azmi, Aqil M/L-3780-2019; Hussain, Amir/AAG-6299-2020; Azmi, Aqil M/AAR-2299-2020","Azmi, Aqil M/0000-0002-0983-2861; Hussain, Amir/0000-0002-8080-082X; Azmi, Aqil M/0000-0002-0983-2861",,,,,,,,,,,,,0269-2821,1573-7462,,,,AUG,2019.0,52.0,2,,,,,1369.0,1414.0,,10.1007/s10462-019-09692-w,0.0,,,,,,,,,,,,,WOS:000472573300019,0
J,"Chauhan, VK; Dahiya, K; Sharma, A",,,,"Chauhan, Vinod Kumar; Dahiya, Kalpana; Sharma, Anuj",,,Problem formulations and solvers in linear SVM: a review,ARTIFICIAL INTELLIGENCE REVIEW,,,,,,,,,,,,"Support vector machine (SVM) is an optimal margin based classification technique in machine learning. SVM is a binary linear classifier which has been extended to non-linear data using Kernels and multi-class data using various techniques like one-versus-one, one-versus-rest, Crammer Singer SVM, Weston Watkins SVM and directed acyclic graph SVM (DAGSVM) etc. SVM with a linear Kernel is called linear SVM and one with a non-linear Kernel is called non-linear SVM. Linear SVM is an efficient technique for high dimensional data applications like document classification, word-sense disambiguation, drug design etc. because under such data applications, test accuracy of linear SVM is closer to non-linear SVM while its training is much faster than non-linear SVM. SVM is continuously evolving since its inception and researchers have proposed many problem formulations, solvers and strategies for solving SVM. Moreover, due to advancements in the technology, data has taken the form of Big Data' which have posed a challenge for Machine Learning to train a classifier on this large-scale data. In this paper, we have presented a review on evolution of linear support vector machine classification, its solvers, strategies to improve solvers, experimental results, current challenges and research directions.",,,,,"Chauhan, Vinod Kumar/O-5926-2018; Dahiya, Kalpana/AAA-9229-2022; Sharma, Anuj/AAX-5778-2020","Chauhan, Vinod Kumar/0000-0001-8195-548X; ",,,,,,,,,,,,,0269-2821,1573-7462,,,,AUG,2019.0,52.0,2,,,,,803.0,855.0,,10.1007/s10462-018-9614-6,0.0,,,,,,,,,,,,,WOS:000472573300003,0
