Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Noy, A; Crammer, K",,"Kaski, S; Corander, J",,"Noy, Asaf; Crammer, Koby",,,Robust Forward Algorithms via PAC-Bayes and Laplace Distributions,"ARTIFICIAL INTELLIGENCE AND STATISTICS, VOL 33",JMLR Workshop and Conference Proceedings,,,,17th International Conference on Artificial Intelligence and Statistics (AISTATS),"APR 22-25, 2014","Reykjavik, ICELAND",,,,,"Laplace random variables are commonly used to model extreme noise in many fields, while systems trained to deal with such noises are often characterized by robustness properties. We introduce new learning algorithms that minimize objectives derived directly from PAC-Bayes bounds, incorporating Laplace distributions. The resulting algorithms are regulated by the Huber loss fuiction and are robust to noise, as the Laplace distribution integrated large deviation of parameters. We analyze the convexity properties of the objective, and propose a few bounds which are fully convex, two of which jointly convex in the mean and standard-deviation under certain conditions. We derive new forward algorithms analogous to recent boosting algorithms, providing novel relations between boosting and PAC-Bayes analysis. Experiments show that our algorithms outperform AdaBoost, Li-LogBoost [10], and RobustBoost [11] in a wide range of input noise.",,,,,,,,,,,,,,,,,,,1938-7288,,,,,,2014,33,,,,,,678,686,,,,,,,,,,,,,,,,WOS:000508355800075,0
C,"Paskov, HS; Mitchell, JC; Hastie, TJ",,"Kaski, S; Corander, J",,"Paskov, Hristo S.; Mitchell, John C.; Hastie, Trevor J.",,,An Efficient Algorithm for Large Scale Compressive Feature Learning,"ARTIFICIAL INTELLIGENCE AND STATISTICS, VOL 33",JMLR Workshop and Conference Proceedings,,,,17th International Conference on Artificial Intelligence and Statistics (AISTATS),"APR 22-25, 2014","Reykjavik, ICELAND",,,,,"This paper focuses on large-scale unsupervised feature selection from text. We expand upon the recently proposed Compressive Feature Learning (CFL) framework, a method that uses dictionary-based compression to select a K-gram representation for a document corpus. We show that CFL is NP-Complete and provide a novel and efficient approximation algorithm based on a homotopy that transforms a convex relaxation of CFL into the original problem. Our algorithm allows CFL to scale to corpuses comprised of millions of documents because each step is linear in the corpus length and highly parallelizable. We use it to extract features from the BeerAdvocate dataset, a corpus of over 1.5 million beer reviews spanning 10 years. CFL uses two orders of magnitude fewer features than the full trigram space. It beats a standard unigram model in a number of prediction tasks and achieves nearly twice the accuracy on an author identification task.",,,,,,,,,,,,,,,,,,,1938-7288,,,,,,2014,33,,,,,,760,768,,,,,,,,,,,,,,,,WOS:000508355800084,0
C,"Ramdas, A; Poczos, B; Singh, A; Wasserman, L",,"Kaski, S; Corander, J",,"Ramdas, Aaditya; Poczos, Barnabas; Singh, Aarti; Wasserman, Larry",,,An Analysis of Active Learning With Uniform Feature Noise,"ARTIFICIAL INTELLIGENCE AND STATISTICS, VOL 33",JMLR Workshop and Conference Proceedings,,,,17th International Conference on Artificial Intelligence and Statistics (AISTATS),"APR 22-25, 2014","Reykjavik, ICELAND",,,,,"In active learning, the user sequentially chooses values for feature X and an oracle returns the corresponding label Y. In this paper, we consider the effect of feature noise in active learning, which could arise either because X itself is being measured, or it is corrupted in transmission to the oracle, or the oracle returns the label of a noisy version of the query point. In statistics, feature noise is known as errors in variables and has been studied extensively in non-active settings. However, the effect of feature noise in active learning has not been studied before. We consider the well-known Berkson errors-in-variables model with additive uniform noise of width sigma. Our simple but revealing setting is that of one-dimensional binary classification setting where the goal is to learn a threshold (point where the probability of a + label crosses half). We deal with regression functions that are antisymmetric in a region of size a around the threshold and also satisfy Tsybakov's margin condition around the threshold. We prove minimax lower and upper bounds which demonstrate that when a is smaller than the minimiax active/passive noiseless error derived in Castro & Nowak (2007), then noise has no effect on the rates and one achieves the same noiseless rates. For larger sigma, the unfiattening of the regression function on convolution with uniform noise, along with its local antisymmetry around the threshold, together yield a behaviour where noise appears to be beneficial. Our key result is that active learning can buy significant improvement over a passive strategy even in the presence of feature noise.",,,,,,,,,,,,,,,,,,,1938-7288,,,,,,2014,33,,,,,,805,813,,,,,,,,,,,,,,,,WOS:000508355800089,0
C,"Bao, H; Sugiyama, M",,"Banerjee, A; Fukumizu, K",,"Bao, Han; Sugiyama, Masashi",,,Fenchel-Young Losses with Skewed Entropies for Class-posterior Probability Estimation,24TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND STATISTICS (AISTATS),Proceedings of Machine Learning Research,,,,24th International Conference on Artificial Intelligence and Statistics (AISTATS),"APR 13-15, 2021",ELECTR NETWORK,,,,,"We study class-posterior probability estimation (CPE) for binary responses where one class has much fewer data than the other. For example, events such as species co-occurrence in ecology and wars in political science are often much rarer than non-events. Logistic regression has been widely used for CPE, while it tends to underestimate the probability of rare events. Its main drawback is symmetry of the logit link-symmetric links can be misled by small and imbalanced samples because it is more incentivized to overestimate the majority class with finite samples. Parametric skewed links have been proposed to overcome this limitation, but their estimation usually results in nonconvex optimization unlike the logit link. Such nonconvexity is knotty not only from the computational viewpoint but also in terms of the parameter identifiability. In this paper, we provide a procedure to derive a convex loss for a skewed link based on the recently proposed FenchelYoung losses. The derived losses are always convex and have a nice property suitable for class imbalance. The simulation shows the practicality of the derived losses.",,,,,"Sugiyama, Masashi/AEO-1176-2022","Sugiyama, Masashi/0000-0001-6658-6743",,,,,,,,,,,,,2640-3498,,,,,,2021,130,,,,,,,,,,,,,,,,,,,,,,,WOS:000659893802003,0
C,"Braun, G; Tyagi, H; Biernacki, C",,"Banerjee, A; Fukumizu, K",,"Braun, Guillaume; Tyagi, Hemant; Biernacki, Christophe",,,Clustering multilayer graphs with missing nodes,24TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND STATISTICS (AISTATS),Proceedings of Machine Learning Research,,,,24th International Conference on Artificial Intelligence and Statistics (AISTATS),"APR 13-15, 2021",ELECTR NETWORK,,,,,"Relationships between agents can be conveniently represented by graphs. When these relationships have different modalities, they are better modelled by multilayer graphs in which each layer is associated with one modality. Such graphs arise naturally in many contexts including biological and social networks. Clustering is a fundamental problem in network analysis where the goal is to regroup nodes with similar connectivity profiles. In the past decade, various clustering methods have been extended from the unilayer setting to multilayer graphs in order to incorporate the information provided by each layer. While most existing works assume - rather restrictively - that all layers share the same set of nodes, we propose a new framework that allows for layers to be defined on different sets of nodes. In particular, the nodes not recorded in a layer are treated as missing. Within this paradigm, we investigate several generalizations of well-known clustering methods in the complete setting to the incomplete one and prove some consistency results under the Multi-Layer Stochastic Block Model assumption. Our theoretical results are complemented by thorough numerical comparisons between our proposed algorithms on synthetic data, and also on real datasets, thus highlighting the promising behaviour of our methods in various settings.",,,,,,,,,,,,,,,,,,,2640-3498,,,,,,2021,130,,,,,,,,,,,,,,,,,,,,,,,WOS:000659893802071,0
C,"Brugge, K; Fischer, A; Igel, C",,"Banerjee, A; Fukumizu, K",,"Brugge, Kai; Fischer, Asja; Igel, Christian",,,On the Convergence of the Metropolis Algorithm with Fixed-Order Updates for Multivariate Binary Probability Distributions,24TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND STATISTICS (AISTATS),Proceedings of Machine Learning Research,,,,24th International Conference on Artificial Intelligence and Statistics (AISTATS),"APR 13-15, 2021",ELECTR NETWORK,,,,,"The Metropolis algorithm is arguably the most fundamental Markov chain Monte Carlo (MCMC) method. But the algorithm is not guaranteed to converge to the desired distribution in the case of multivariate binary distributions (e.g., Ising models or stochastic neural networks such as Boltzmann machines) if the variables (sites or neurons) are updated in a fixed order, a setting commonly used in practice. The reason is that the corresponding Markov chain may not be irreducible. We propose a modified Metropolis transition operator that behaves almost always identically to the standard Metropolis operator and prove that it ensures irreducibility and convergence to the limiting distribution in the multivariate binary case with fixed-order updates. The result provides an explanation for the behaviour of Metropolis MCMC in that setting and closes a long-standing theoretical gap. We experimentally studied the standard and modified Metropolis operator for models where they actually behave differently. If the standard algorithm also converges, the modified operator exhibits similar (if not better) performance in terms of convergence speed.",,,,,,,,,,,,,,,,,,,2640-3498,,,,,,2021,130,,,,,,469,+,,,,,,,,,,,,,,,,WOS:000659893800053,0
C,"Cohen, E; Geri, O; Sarlos, T; Stemmer, U",,"Banerjee, A; Fukumizu, K",,"Cohen, Edith; Geri, Ofir; Sarlos, Tamas; Stemmer, Uri",,,Differentially Private Weighted Sampling,24TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND STATISTICS (AISTATS),Proceedings of Machine Learning Research,,,,24th International Conference on Artificial Intelligence and Statistics (AISTATS),"APR 13-15, 2021",ELECTR NETWORK,,,,,"Common datasets have the form of elements with keys (e.g., transactions and products) and the goal is to perform analytics on the aggregated form of key and frequency pairs. A weighted sample of keys by (a function of) frequency is a highly versatile summary that provides a sparse set of representative keys and supports approximate evaluations of query statistics. We propose private weighted sampling (PWS): A method that sanitizes a weighted sample as to ensure elementlevel differential privacy, while retaining its utility to the maximum extent possible. PWS maximizes the reporting probabilities of keys and estimation quality of a broad family of statistics. PWS improves over the state of the art even for the well-studied special case of private histograms, when no sampling is performed. We empirically observe significant performance gains of 20%-300% increase in key reporting for common Zipfian frequency distributions and accurate estimation with x2-8 lower frequencies. PWS is applied as a post-processing of a non-private sample, without requiring the original data. Therefore, it can be a seamless addition to existing implementations, such as those optimizes for distributed or streamed data. We believe that due to practicality and performance, PWS may become a method of choice in applications where privacy is desired.",,,,,,,,,,,,,,,,,,,2640-3498,,,,,,2021,130,,,,,,,,,,,,,,,,,,,,,,,WOS:000659893802087,0
C,"Ghosh, A; Sankararaman, A; Ramchandran, K",,"Banerjee, A; Fukumizu, K",,"Ghosh, Avishek; Sankararaman, Abishek; Ramchandran, Kannan",,,Problem-Complexity Adaptive Model Selection for Stochastic Linear Bandits,24TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND STATISTICS (AISTATS),Proceedings of Machine Learning Research,,,,24th International Conference on Artificial Intelligence and Statistics (AISTATS),"APR 13-15, 2021",ELECTR NETWORK,,,,,"We consider the problem of model selection for two popular stochastic linear bandit settings, and propose algorithms that adapts to the unknown problem complexity. In the first setting, we consider the K armed mixture bandits, where the mean reward of arm i is an element of [K](2), is mu(i) + <alpha(i,t), theta*>, with alpha(i,t) is an element of R-d being the known context vector and mu(i) is an element of [-1, 1] and theta* are unknown parameters. We define(3) parallel to theta*parallel to as the problem complexity and consider a sequence of nested hypothesis classes, each positing a different upper bound on parallel to theta*parallel to. Exploiting this, we propose Adaptive Linear Bandit (ALB), a novel phase based algorithm that adapts to the true problem complexity, parallel to theta*parallel to. We show that ALB achieves regret scaling of(4) (O) over tilde(parallel to theta*parallel to root T), where parallel to theta*parallel to is apriori unknown. As a corollary, when theta* = 0, ALB recovers the minimax regret for the simple bandit algorithm without such knowledge of theta*. ALB is the first algorithm that uses parameter norm as model section criteria for linear bandits. Prior state of art algorithms (Chatterji et al. (2019)) achieve a regret of (O) over tilde (L root T), where L is the upper bound on parallel to theta*parallel to, fed as an input to the problem. In the second setting, we consider the standard linear bandit problem (with possibly an infinite number of arms) where the sparsity of theta*, denoted by d* <= d, is unknown to the algorithm. Defining d* as the problem complexity (similar to Foster et al. (2019)), we show that ALB achieves (O) over tilde (d*root T) regret, matching that of an oracle who knew the true sparsity level. This is the first algorithm that achieves such model selection guarantees. This methodology is then extended to the case of finitely many arms and similar results are proven. We further verify through synthetic and real-data experiments that the performance gains are fundamental and not artifacts of mathematical bounds. In particular, we show 1.5 - 3x drop in cumulative regret over non-adaptive algorithms.",,,,,,,,,,,,,,,,,,,2640-3498,,,,,,2021,130,,,,,,,,,,,,,,,,,,,,,,,WOS:000659893801069,0
C,"Ghosh, S; Birrell, PJ; De Angelis, D",,"Banerjee, A; Fukumizu, K",,"Ghosh, Sanmitra; Birrell, Paul J.; De Angelis, Daniela",,,Variational inference for nonlinear ordinary differential equations,24TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND STATISTICS (AISTATS),Proceedings of Machine Learning Research,,,,24th International Conference on Artificial Intelligence and Statistics (AISTATS),"APR 13-15, 2021",ELECTR NETWORK,,,,,"We apply the reparameterisation trick to obtain a variational formulation of Bayesian inference in nonlinear ODE models. By invoking the linear noise approximation we also extend this variational formulation to a stochastic kinetic model. Our proposed inference method does not depend on any emulation of the ODE solution and only requires the extension of automatic differentiation to an ODE. We achieve this through a novel and holistic approach that uses both forward and adjoint sensitivity analysis techniques. Consequently, this approach can cater to both small and large ODE models efficiently. Upon benchmarking on some widely used mechanistic models, the proposed inference method produced a reliable approximation to the posterior distribution, with a significant reduction in execution time, in comparison to MCMC.",,,,,,,,,,,,,,,,,,,2640-3498,,,,,,2021,130,,,,,,,,,,,,,,,,,,,,,,,WOS:000659893803029,0
C,"Girgis, AM; Data, D; Diggavi, S; Kairouz, P; Suresh, AT",,"Banerjee, A; Fukumizu, K",,"Girgis, Antonious M.; Data, Deepesh; Diggavi, Suhas; Kairouz, Peter; Suresh, Ananda Theertha",,,Shuffed Model of Differential Privacy in Federated Learning,24TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND STATISTICS (AISTATS),Proceedings of Machine Learning Research,,,,24th International Conference on Artificial Intelligence and Statistics (AISTATS),"APR 13-15, 2021",ELECTR NETWORK,,,,,"We consider a distributed empirical risk minimization (ERM) optimization problem with communication efficiency and privacy requirements, motivated by the federated learning (FL) framework. We propose a distributed communication-efficient and local differentially private stochastic gradient descent (CLDP-SGD) algorithm and analyze its communication, privacy, and convergence trade-offs. Since each iteration of the CLDP-SGD aggregates the client-side local gradients, we develop (optimal) communication-efficient schemes for mean estimation for several l(p) spaces under local differential privacy (LDP). To overcome performance limitation of LDP, CLDP-SGD takes advantage of the inherent privacy amplification provided by client sub-sampling and data subsampling at each selected client (through SGD) as well as the recently developed shuffed model of privacy. For convex loss functions, we prove that the proposed CLDP-SGD algorithm matches the known lower bounds on the centralized private ERM while using a finite number of bits per iteration for each client, i.e., effectively getting communication efficiency for free. We also provide preliminary experimental results supporting the theory.",,,,,,,,,,,,,,,,,,,2640-3498,,,,,,2021,130,,,,,,,,,,,,,,,,,,,,,,,WOS:000659893803007,0
