Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Milea, V; Frasincar, F; Kaymak, U",,,,"Milea, Viorel; Frasincar, Flavius; Kaymak, Uzay",,,tOWL: A Temporal Web Ontology Language,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,,,,,,,,,,,,"Through its interoperability and reasoning capabilities, the Semantic Web opens a realm of possibilities for developing intelligent systems on the Web. The Web Ontology Language (OWL) is the most expressive standard language for modeling ontologies, the cornerstone of the Semantic Web. However, up until now, no standard way of expressing time and time-dependent information in OWL has been provided. In this paper, we present a temporal extension of the very expressive fragment SHIN(D) of the OWL Description Logic language, resulting in the temporal OWL language. Through a layered approach, we introduce three extensions: 1) concrete domains, which allow the representation of restrictions using concrete domain binary predicates; 2) temporal representation, which introduces time points, relations between time points, intervals, and Allen's 13 interval relations into the language; and 3) timeslices/fluents, which implement a perdurantist view on individuals and allow for the representation of complex temporal aspects, such as process state transitions. We illustrate the expressiveness of the newly introduced language by using an example from the financial domain.",,,,,"Kaymak, Uzay/A-3364-2008; Frasincar, Flavius/AAC-8253-2021; Frasincar, Flavius/D-3171-2011; Milea, Viorel/J-2652-2014","Kaymak, Uzay/0000-0002-4500-9098; Frasincar, Flavius/0000-0002-8031-758X; Milea, Viorel/0000-0002-3203-514X",,,,,,,,,,,,,1083-4419,1941-0492,,,,FEB,2012,42,1,,,,,268,281,,10.1109/TSMCB.2011.2162582,0.0,,,,,,,,21878417.0,,,,,WOS:000302096700021,0
J,"Alam, MS; Islam, MM; Yao, X; Murase, K",,,,"Alam, Mohammad Shafiul; Islam, Md. Monirul; Yao, Xin; Murase, Kazuyuki",,,Recurring Two-Stage Evolutionary Programming: A Novel Approach for Numeric Optimization,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,,,,,,,,,,,,"In the application of evolutionary algorithms (EAs) to complex problem solving, it is essential to maintain proper balance between global exploration and local exploitation to achieve a good near-optimum solution to the problem. This paper presents a recurring two-stage evolutionary programming (RTEP) to balance the explorative and exploitative features of the conventional EAs. Unlike most previous works, RTEP is based on repeated and alternated execution of two different stages, namely, the exploration and exploitation stages, each with its own mutation operator, selection strategy, and explorative/exploitative objective. Both analytical and empirical studies have been carried out to understand the necessity of repeated and alternated exploration and exploitation operations in EAs. A suite of 48 benchmark numerical optimization problems has been used in the empirical studies. The experimental results show the remarkable effectiveness of the repeated exploration and exploitation operations employed by RTEP.",,,,,"YAO, XIN/W-2158-2018; Murase, Kazuyuki/O-4881-2014","YAO, XIN/0000-0001-8837-4442; Murase, Kazuyuki/0000-0002-2358-995X; Alam, Mohammad Shafiul/0000-0002-2393-0791",,,,,,,,,,,,,1083-4419,1941-0492,,,,OCT,2011,41,5,,,,,1352,1365,,10.1109/TSMCB.2011.2144968,0.0,,,,,,,,21609887.0,,,,,WOS:000295012000015,0
J,"Tilak, O; Martin, R; Mukhopadhyay, S",,,,"Tilak, Omkar; Martin, Ryan; Mukhopadhyay, Snehasis",,,Decentralized Indirect Methods for Learning Automata Games,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,,,,,,,,,,,,"We discuss the application of indirect learning methods in zero-sum and identical payoff learning automata games. We propose a novel decentralized version of the well-known pursuit learning algorithm. Such a decentralized algorithm has significant computational advantages over its centralized counterpart. The theoretical study of such a decentralized algorithm requires the analysis to be carried out in a nonstationary environment. We use a novel bootstrapping argument to prove the convergence of the algorithm. To our knowledge, this is the first time that such analysis has been carried out for zero-sum and identical payoff games. Extensive simulation studies are reported, which demonstrate the proposed algorithm's fast and accurate convergence in a variety of game scenarios. We also introduce the framework of partial communication in the context of identical payoff games of learning automata. In such games, the automata may not communicate with each other or may communicate selectively. This comprehensive framework has the capability to model both centralized and decentralized games discussed in this paper.",,,,,,,,,,,,,,,,,,,1083-4419,1941-0492,,,,OCT,2011,41,5,,,,,1213,1223,,10.1109/TSMCB.2011.2118749,0.0,,,,,,,,21925998.0,,,,,WOS:000295012000004,0
J,"Daneshyari, M; Yen, GG",,,,"Daneshyari, Moayed; Yen, Gary G.",,,Cultural-Based Multiobjective Particle Swarm Optimization,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,,,,,,,,,,,,"Multiobjective particle swarm optimization (MOPSO) algorithms have been widely used to solve multiobjective optimization problems. Most MOPSOs use fixed momentum and acceleration for all particles throughout the evolutionary process. In this paper, we introduce a cultural framework to adapt the personalized flight parameters of the mutated particles in a MOPSO, namely momentum and personal and global accelerations, for each individual particle based upon various types of knowledge in belief space, specifically situational, normative, and topographical knowledge. A comprehensive comparison of the proposed algorithm with chosen state-of-the-art MOPSOs on benchmark test functions shows that the movement of the individual particle using the adapted parameters assists the MOPSO to perform efficiently and effectively in exploring solutions close to the true Pareto front while exploiting a local search to attain diverse solutions.",,,,,"Yen, Gary/AAF-2913-2019","Yen, Gary/0000-0001-8851-5348",,,,,,,,,,,,,1083-4419,1941-0492,,,,APR,2011,41,2,,,,,553,567,,10.1109/TSMCB.2010.2068046,0.0,,,,,,,,20837447.0,,,,,WOS:000288454300020,0
J,"Lewis, FL; Vamvoudakis, KG",,,,"Lewis, F. L.; Vamvoudakis, Kyriakos G.",,,Reinforcement Learning for Partially Observable Dynamic Processes: Adaptive Dynamic Programming Using Measured Output Data,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,,,,,,,,,,,,"Approximate dynamic programming (ADP) is a class of reinforcement learning methods that have shown their importance in a variety of applications, including feedback control of dynamical systems. ADP generally requires full information about the system internal states, which is usually not available in practical situations. In this paper, we show how to implement ADP methods using only measured input/output data from the system. Linear dynamical systems with deterministic behavior are considered herein, which are systems of great interest in the control system community. In control system theory, these types of methods are referred to as output feedback (OPFB). The stochastic equivalent of the systems dealt with in this paper is a class of partially observable Markov decision processes. We develop both policy iteration and value iteration algorithms that converge to an optimal controller that requires only OPFB. It is shown that, similar to Q-learning, the new methods have the important advantage that knowledge of the system dynamics is not needed for the implementation of these learning algorithms or for the OPFB control. Only the order of the system, as well as an upper bound on its observability index, must be known. The learned OPFB controller is in the form of a polynomial autoregressive moving-average controller that has equivalent performance with the optimal state variable feedback gain.",,,,,,"Vamvoudakis, Kyriakos G./0000-0003-1978-4848",,,,,,,,,,,,,1083-4419,1941-0492,,,,FEB,2011,41,1,,,,,14,25,,10.1109/TSMCB.2010.2043839,0.0,,,,,,,,20350860.0,,,,,WOS:000286388300002,0
J,"Vidaurre, D; Bielza, C; Larranaga, P",,,,"Vidaurre, Diego; Bielza, Concha; Larranaga, Pedro",,,Learning an L1-Regularized Gaussian Bayesian Network in the Equivalence Class Space,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,,,,,,,,,,,,"Learning the structure of a graphical model from data is a common task in a wide range of practical applications. In this paper, we focus on Gaussian Bayesian networks, i.e., on continuous data and directed acyclic graphs with a joint probability density of all variables given by a Gaussian. We propose to work in an equivalence class search space, specifically using the k-greedy equivalence search algorithm. This, combined with regularization techniques to guide the structure search, can learn sparse networks close to the one that generated the data. We provide results on some synthetic networks and on modeling the gene network of the two biological pathways regulating the biosynthesis of isoprenoids for the Arabidopsis thaliana plant.",,,,,"Larranaga, Pedro/F-9293-2013; Bielza, Concha/F-9277-2013","Larranaga, Pedro/0000-0003-0652-9872; Bielza, Concha/0000-0001-7109-2668; Vidaurre, Diego/0000-0002-9650-2229",,,,,,,,,,,,,1083-4419,1941-0492,,,,OCT,2010,40,5,,,,,1231,1242,,10.1109/TSMCB.2009.2036593,0.0,,,,,,,,20083459.0,,,,,WOS:000283292800003,0
J,"Lu, JW; Tan, YP",,,,"Lu, Jiwen; Tan, Yap-Peng",,,Regularized Locality Preserving Projections and Its Extensions for Face Recognition,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,,,,,,,,,,,,"We propose in this paper a parametric regularized locality preserving projections (LPP) method for face recognition. Our objective is to regulate the LPP space in a parametric manner and extract useful discriminant information from the whole feature space rather than a reduced projection subspace of principal component analysis. This results in better locality preserving power and higher recognition accuracy than the original LPP method. Moreover, the proposed regularization method can easily be extended to other manifold learning algorithms and to effectively address the small sample size problem. Experimental results on two widely used face databases demonstrate the efficacy of the proposed method.",,,,,"Tan, Yap-Peng/A-5158-2011; Lu, Jiwen/C-5291-2009","Lu, Jiwen/0000-0002-6121-5529",,,,,,,,,,,,,1083-4419,1941-0492,,,,JUN,2010,40,3,,,SI,,958,963,,10.1109/TSMCB.2009.2032926,0.0,,,,,,,,19906590.0,,,,,WOS:000277774700037,0
J,"Zhao, HQ; Zhang, JS",,,,"Zhao, Haiquan; Zhang, Jiashu",,,Pipelined Chebyshev Functional Link Artificial Recurrent Neural Network for Nonlinear Adaptive Filter,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,,,,,,,,,,,,"A novel nonlinear adaptive filter with pipelined Chebyshev functional link artificial recurrent neural network (PCFLARNN) is presented in this paper, which uses amodification real-time recurrent learning algorithm. The PCFLARNN consists of a number of simple small-scale Chebyshev functional link artificial recurrent neural network (CFLARNN) modules. Compared to the standard recurrent neural network (RNN), those modules of PCFLARNN can simultaneously be performed in a pipelined parallelism fashion, and this would lead to a significant improvement in its total computational efficiency. Furthermore, contrasted with the architecture of a pipelined RNN (PRNN), each module of PCFLARNN is a CFLARNN whose nonlinearity is introduced by enhancing the input pattern with Chebyshev functional expansion, whereas the RNN of each module in PRNN utilizing linear input and first-order recurrent term only fails to utilize the high-order terms of inputs. Therefore, the performance of PCFLARNN can further be improved at the cost of a slightly increased computational complexity. In addition, due to the introduced nonlinear functional expansion of each module in PRNN, the number of input signals can be reduced. Computer simulations have demonstrated that the proposed filter performs better than PRNN and RNN for nonlinear colored signal prediction, nonstationary speech signal prediction, and chaotic time series prediction.",,,,,,,,,,,,,,,,,,,1083-4419,1941-0492,,,,FEB,2010,40,1,,,,,162,172,,10.1109/TSMCB.2009.2024313,0.0,,,,,,,,19751995.0,,,,,WOS:000271440600015,0
J,"Himberg, H; Motai, Y",,,,"Himberg, Henry; Motai, Yuichi",,,Head Orientation Prediction: Delta Quaternions Versus Quaternions,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,,,,,,,,,,,,"Display lag in simulation environments with helmet-mounted displays causes a loss of immersion that degrades the value of virtual/augmented reality training simulators. Simulators use predictive tracking to compensate for display lag, preparing display updates based on the anticipated head motion. This paper proposes a new method for predicting head orientation using a delta quaternion (DQ)-based extended Kalman filter (EKF) and compares the performance to a quaternion EKF. The proposed framework operates on the change in quaternion between consecutive data frames (the DQ), which avoids the heavy computational burden of the quaternion motion equation. Head velocity is estimated from the DQ by an EKF and then used to predict future head orientation. We have tested the new framework with captured head motion data and compared it with the computationally expensive quaternion filter. Experimental results indicate that the proposed DQ method provides the accuracy of the quaternion method without the heavy computational burden.",,,,,"Motai, Yuichi/G-9740-2017","Motai, Yuichi/0000-0002-1957-1896",,,,,,,,,,,,,1083-4419,1941-0492,,,,DEC,2009,39,6,,,,,1382,1392,,10.1109/TSMCB.2009.2016571,0.0,,,,,,,,19493852.0,,,,,WOS:000270143800004,0
J,"Toscano, R; Lyonnet, P",,,,"Toscano, Rosario; Lyonnet, Patrick",,,Heuristic Kalman Algorithm for Solving Optimization Problems,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,,,,,,,,,,,,"The main objective of this paper is to present a new optimization approach, which we call heuristic Kalman algorithm (HKA). We propose it as a viable approach for solving continuous nonconvex optimization problems. The principle of the proposed approach is to consider explicitly the optimization problem as a measurement process designed to produce an estimate of the optimum. A specific procedure, based on the Kalman method, was developed to improve the quality of the estimate obtained through the measurement process. The efficiency of HKA is evaluated in detail through several nonconvex test problems, both in the unconstrained and constrained cases. The results are then compared to those obtained via other metaheuristics. These various numerical experiments show that the HKA has very interesting potentialities for solving nonconvex optimization problems, notably concerning the computation time and the success ratio.",,,,,,,,,,,,,,,,,,,1083-4419,1941-0492,,,,OCT,2009,39,5,,,,,1231,1244,,10.1109/TSMCB.2009.2014777,0.0,,,,,,,,19336312.0,,,,,WOS:000267865400012,0
