Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Barreto, AMS; Precup, D; Pineau, J",,,,"Barreto, Andre M. S.; Precup, Doina; Pineau, Joelle",,,Practical Kernel-Based Reinforcement Learning,JOURNAL OF MACHINE LEARNING RESEARCH,,,,,,,,,,,,"Kernel-based reinforcement learning (KBRL) stands out among approximate reinforcement learning algorithms for its strong theoretical guarantees. By casting the learning problem as a local kernel approximation, KBRL provides a way of computing a decision policy which converges to a unique solution and is statistically consistent. Unfortunately, the model constructed by KBRL grows with the number of sample transitions, resulting in a computational cost that precludes its application to large-scale or on-line domains. In this paper we introduce an algorithm that turns KBRL into a practical reinforcement learning tool. Kernel-based stochastic factorization (KBSF) builds on a simple idea: when a transition probability matrix is represented as the product of two stochastic matrices, one can swap the factors of the multiplication to obtain another transition matrix, potentially much smaller than the original, which retains some fundamental properties of its precursor. KBSF exploits such an insight to compress the information contained in KBRL's model into an approximator of fixed size. This makes it possible to build an approximation considering both the difficulty of the problem and the associated computational cost. KBSF's computational complexity is linear in the number of sample transitions, which is the best one can do without discarding data. Moreover, the algorithm's simple mechanics allow for a fully incremental implementation that makes the amount of memory used independent of the number of sample transitions. The result is a kernel-based reinforcement learning algorithm that can be applied to large-scale problems in both off-line and on-line regimes. We derive upper bounds for the distance between the value functions computed by KBRL and KBSF using the same data. We also prove that it is possible to control the magnitude of the variables appearing in our bounds, which means that, given enough computational resources, we can make KBSF's value function as close as desired to the value function that would be computed by KBRL using the same set of sample transitions. The potential of our algorithm is demonstrated in an extensive empirical study in which KBSF is applied to difficult tasks based on real-world data. Not only does KBSF solve problems that had never been solved before, but it also significantly outperforms other state-of-the-art reinforcement learning algorithms on the tasks studied.",,,,,"Barreto, André M S/J-5063-2013","Salguero Tejada, Carlos/0000-0003-0930-9277",,,,,,,,,,,,,1532-4435,,,,,,2016,17,,,,,,,,67,,,,,,,,,,,,,,,WOS:000391522700001,0
J,"Escalante-B, AN; Wiskott, L",,,,"Escalante-B, Alberto N.; Wiskott, Laurenz",,,Theoretical Analysis of the Optimal Free Responses of Graph-Based SFA for the Design of Training Graphs,JOURNAL OF MACHINE LEARNING RESEARCH,,,,,,,,,,,,"Slow feature analysis (SFA) is an unsupervised learning algorithm that extracts slowly varying features from a multi-dimensional time series. Graph-based SFA (GSFA) is an extension to SFA for supervised learning that can be used to successfully solve regression problems if combined with a simple supervised post-processing step on a small number of slow features. The objective function of GSFA minimizes the squared output differences between pairs of samples specified by the edges of a structure called training graph. The edges of current training graphs, however, are derived only from the relative order of the labels. Exploiting the exact numerical value of the labels enables further improvements in label estimation accuracy. In this article, we propose the exact label learning (ELL) method to create a more precise training graph that encodes the desired labels explicitly and allows GSFA to extract a normalized version of them directly (i.e., without supervised post-processing). The ELL method is used for three tasks: (1) We estimate gender from artificial images of human faces (regression) and show the advantage of coding additional labels, particularly skin color. (2) We analyze two existing graphs for regression. (3) We extract compact discriminative features to classify traffic sign images. When the number of output features is limited, such compact features provide a higher classification rate compared to a graph that generates features equivalent to those of nonlinear Fisher discriminant analysis. The method is versatile, directly supports multiple labels, and provides higher accuracy compared to current graphs for the problems considered.",,,,,"Wiskott, Laurenz/P-7715-2017","Wiskott, Laurenz/0000-0001-6237-740X",,,,,,,,,,,,,1532-4435,,,,,,2016,17,,,,,,,,157,,,,,,,,,,,,,,,WOS:000391666600001,0
J,"Gao, C; Lu, Y; Ma, ZM; Zhou, HH",,,,"Gao, Chao; Lu, Yu; Ma, Zongming; Zhou, Harrison H.",,,Optimal Estimation and Completion of Matrices with Biclustering Structures,JOURNAL OF MACHINE LEARNING RESEARCH,,,,,,,,,,,,"Biclustering structures in data matrices were first formalized in a seminal paper by John Hartigan (Hartigan, 1972) where one seeks to cluster cases and variables simultaneously. Such structures are also prevalent in block modeling of networks. In this paper, we develop a theory for the estimation and completion of matrices with biclustering structures, where the data is a partially observed and noise contaminated matrix with a certain underlying biclustering structure. In particular, we show that a constrained least squares estimator achieves minimax rate-optimal performance in several of the most important scenarios. To this end, we derive unified high probability upper bounds for all sub-Gaussian data and also provide matching minimax lower bounds in both Gaussian and binary cases. Due to the close connection of graphon to stochastic block models, an immediate consequence of our general results is a minimax rate-optimal estimator for sparse graphons.",,,,,,,,,,,,,,,,,,,1532-4435,,,,,,2016,17,,,,,,,,161,,,,,,,,,,,,,,,WOS:000391668000001,0
J,"Hanneke, S",,,,"Hanneke, Steve",,,Refined Error Bounds for Several Learning Algorithms,JOURNAL OF MACHINE LEARNING RESEARCH,,,,,,,,,,,,"This article studies the achievable guarantees on the error rates of certain learning algorithms, with particular focus on re fining logarithmic factors. Many of the results are based on a general technique for obtaining bounds on the error rates of sample-consistent classifiers with monotonic error regions, in the realizable case. We prove bounds of this type expressed in terms of either the VC dimension or the sample compression size. This general technique also enables us to derive several new bounds on the error rates of general sample-consistent learning algorithms, as well as re fined bounds on the label complexity of the CAL active learning algorithm. Additionally, we establish a simple necessary and sufficient condition for the existence of a distribution-free bound on the error rates of all sample-consistent learning rules, converging at a rate inversely proportional to the sample size. We also study learning in the presence of classification noise, deriving a new excess error rate guarantee for general VC classes under Tsybakov's noise condition, and establishing a simple and general necessary and sufficient condition for the minimax excess risk under bounded noise to converge at a rate inversely proportional to the sample size.",,,,,,,,,,,,,,,,,,,1532-4435,,,,,,2016,17,,,,,,,,135,,,,,,,,,,,,,,,WOS:000391658200001,0
J,"Mansinghka, V; Shafto, P; Jonas, E; Petschulat, C; Gasner, M; Tenenbaum, JB",,,,"Mansinghka, Vikash; Shafto, Patrick; Jonas, Eric; Petschulat, Cap; Gasner, Max; Tenenbaum, Joshua B.",,,"CrossCat: A Fully Bayesian Nonparametric Method for Analyzing Heterogeneous, High Dimensional Data",JOURNAL OF MACHINE LEARNING RESEARCH,,,,,,,,,,,,"There is a widespread need for statistical methods that can analyze high-dimensional datasets without imposing restrictive or opaque modeling assumptions. This paper describes a domain-general data analysis method called CrossCat. CrossCat infers multiple non-overlapping views of the data, each consisting of a subset of the variables, and uses a separate nonparametric mixture to model each view. CrossCat is based on approximately Bayesian inference in a hierarchical, nonparametric model for data tables. This model consists of a Dirichlet process mixture over the columns of a data table in which each mixture component is itself an independent Dirichlet process mixture over the rows; the inner mixture components are simple parametric models whose form depends on the types of data in the table. CrossCat combines strengths of mixture modeling and Bayesian network structure learning. Like mixture modeling, CrossCat can model a broad class of distributions by positing latent variables, and produces representations that can be efficiently conditioned and sampled from for prediction. Like Bayesian networks, CrossCat represents the dependencies and independencies between variables, and thus remains accurate when there are multiple statistical signals. Inference is done via a scalable Gibbs sampling scheme; this paper shows that it works well in practice. This paper also includes empirical results on heterogeneous tabular data of up to 10 million cells, such as hospital cost and quality measures, voting records, unemployment rates, gene expression measurements, and images of handwritten digits. CrossCat infers structure that is consistent with accepted findings and common-sense knowledge in multiple domains and yields predictive accuracy competitive with generative, discriminative, and model-free alternatives.",,,,,,,,,,,,,,,,,,,1532-4435,,,,,,2016,17,,,,,,,,138,,,,,,,,,,,,,,,WOS:000391659400001,0
J,"Muandet, K; Sriperumbudur, B; Fukumizu, K; Gretton, A; Scholkopf, B",,,,"Muandet, Krikamol; Sriperumbudur, Bharath; Fukumizu, Kenji; Gretton, Arthur; Schoelkopf, Bernhard",,,Kernel Mean Shrinkage Estimators,JOURNAL OF MACHINE LEARNING RESEARCH,,,,,,,,,,,,"A mean function in a reproducing kernel Hilbert space (RKHS), or a kernel mean, is central to kernel methods in that it is used by many classical algorithms such as kernel principal component analysis, and it also forms the core inference step of modern kernel methods that rely on embedding probability distributions in RKHSs. Given a finite sample, an empirical average has been used commonly as a standard estimator of the true kernel mean. Despite a widespread use of this estimator, we show that it can be improved thanks to the well-known Stein phenomenon. We propose a new family of estimators called kernel mean shrinkage estimators (KMSEs), which bene fit from both theoretical justifications and good empirical performance. The results demonstrate that the proposed estimators outperform the standard one, especially in a large d, small n paradigm.",,,,,"Schölkopf, Bernhard/A-7570-2013","Schölkopf, Bernhard/0000-0002-8177-0925; Gretton, Arthur/0000-0003-3169-7624",,,,,,,,,,,,,1532-4435,,,,,,2016,17,,,,,,1,41,48,,,,,,,,,,,,,,,WOS:000391485700001,0
J,"Niinimaki, T; Parviainen, P; Koivisto, M",,,,"Niinimaki, Teppo; Parviainen, Pekka; Koivisto, Mikko",,,Structure Discovery in Bayesian Networks by Sampling Partial Orders,JOURNAL OF MACHINE LEARNING RESEARCH,,,,,,,,,,,,"We present methods based on Metropolis-coupled Markov chain Monte Carlo (MC3) and annealed importance sampling (AIS) for estimating the posterior distribution of Bayesian networks. The methods draw samples from an appropriate distribution of partial orders on the nodes, continued by sampling directed acyclic graphs (DAGs) conditionally on the sampled partial orders. We show that the computations needed for the sampling algorithms are feasible as long as the encountered partial orders have relatively few down-sets. While the algorithms assume suitable modularity properties of the priors, arbitrary priors can be handled by dividing the importance weight of each sampled DAG by the number of topological sorts it has| we give a practical dynamic programming algorithm to compute these numbers. Our empirical results demonstrate that the presented partial-order-based samplers are superior to previous Markov chain Monte Carlo methods, which sample DAGs either directly or via linear orders on the nodes. The results also suggest that the convergence rate of the estimators based on AIS are competitive to those of MC3. Thus AIS is the preferred method, as it enables easier large-scale parallelization and, in addition, supplies good probabilistic lower bound guarantees for the marginal likelihood of the model.",,,,,,"Koivisto, Mikko/0000-0001-9662-3605",,,,,,,,,,,,,1532-4435,,,,,,2016,17,,,,,,,,57,,,,,,,,,,,,,,,WOS:000391489300001,0
J,"Vehtari, A; Mononen, T; Tolvanen, V; Sivula, T; Winther, O",,,,"Vehtari, Aki; Mononen, Tommi; Tolvanen, Ville; Sivula, Tuomas; Winther, Ole",,,Bayesian Leave-One-Out Cross Validation Approximations for Gaussian Latent Variable Models,JOURNAL OF MACHINE LEARNING RESEARCH,,,,,,,,,,,,"The future predictive performance of a Bayesian model can be estimated using Bayesian cross-validation. In this article, we consider Gaussian latent variable models where the integration over the latent values is approximated using the Laplace method or expectation propagation (EP). We study the properties of several Bayesian leave-one-out (LOO) cross-validation approximations that in most cases can be computed with a small additional cost after forming the posterior approximation given the full data. Our main objective is to assess the accuracy of the approximative LOO cross-validation estimators.That is, for each method (Laplace and EP) we compare the approximate fast computation with the exact brute force LOO computation. Secondarily, we evaluate the accuracy of the Laplace and EP approximations themselves against a ground truth established through extensive Markov chain Monte Carlo simulation. Our empirical results show that the approach based upon a Gaussian approximation to the LOO marginal distribution (the so-called cavity distribution) gives the most accurate and reliable results among the fast methods.",,,,,,,,,,,,,,,,,,,1532-4435,,,,,,2016,17,,,,,,,,103,,,,,,,,,,,,,,,WOS:000391543600001,0
J,"Yuille, A; Mottaghi, R",,,,"Yuille, Alan; Mottaghi, Roozbeh",,,Complexity of Representation and Inference in Compositional Models with Part Sharing,JOURNAL OF MACHINE LEARNING RESEARCH,,,,,,,,,,,,"This paper describes serial and parallel compositional models of multiple objects with part sharing. Objects are built by part-subpart compositions and expressed in terms of a hierarchical dictionary of object parts. These parts are represented on lattices of decreasing sizes which yield an executive summary description. We describe inference and learning algorithms for these models. We analyze the complexity of this model in terms of computation time (for serial computers) and numbers of nodes (e.g., neurons) for parallel computers. In particular, we compute the complexity gains by part sharing and its dependence on how the dictionary scales with the level of the hierarchy. We explore three regimes of scaling behavior where the dictionary size (i) increases exponentially with the level, (ii) is determined by an unsupervised compositional learning algorithm applied to real data, (iii) decreases exponentially with scale. This analysis shows that in some regimes the use of shared parts enables algorithms which can perform inference in time linear in the number of levels for an exponential number of objects. In other regimes part sharing has little advantage for serial computers but can give linear processing on parallel computers.",,,,,,,,,,,,,,,,,,,1532-4435,,,,,,2016,17,,,,,,,,11,,,,,,,,,,,,,,,WOS:000391470200001,0
J,"Chazal, F; Glisse, M; Labruere, C; Michel, B",,,,"Chazal, Frederic; Glisse, Marc; Labruere, Catherine; Michel, Bertrand",,,Convergence Rates for Persistence Diagram Estimation in Topological Data Analysis,JOURNAL OF MACHINE LEARNING RESEARCH,,,,,,,,,,,,"Computational topology has recently seen an important development toward data analysis, giving birth to the field of topological data analysis. Topological persistence, or persistent homology, appears as a fundamental tool in this field. In this paper, we study topological persistence in general metric spaces, with a statistical approach. We show that the use of persistent homology can be naturally considered in general statistical frameworks and that persistence diagrams can be used as statistics with interesting convergence properties. Some numerical experiments are performed in various contexts to illustrate our results.",,,,,,,,,,,,,,,,,,,1532-4435,,,,,DEC,2015,16,,,,,,3603,3635,,,,,,,,,,,,,,,,WOS:000369888000039,0
