df,tfidf,K,alpha,eta,coherence
0.5,0.0075,510,asymmetric,auto,0.4829927150992677
0.5,0.0075,520,asymmetric,auto,0.4773082684302966
0.5,0.0075,530,asymmetric,auto,0.4841305136951487
0.5,0.0075,540,asymmetric,auto,0.4817554030461348
0.5,0.0075,550,asymmetric,auto,0.4880691905310563
0.5,0.0075,560,asymmetric,auto,0.480393969242202
0.5,0.0075,570,asymmetric,auto,0.4803001371533018
0.5,0.0075,580,asymmetric,auto,0.4771415916498711
0.5,0.0075,590,asymmetric,auto,0.4795255033805614
0.5,0.0075,600,asymmetric,auto,0.484558248344746
0.5,0.0075,610,asymmetric,auto,0.47752389452381294
0.5,0.0075,620,asymmetric,auto,0.4771244746579738
0.5,0.0075,630,asymmetric,auto,0.4760061137972657
