df,tfidf,K,alpha,eta,coherence
0.3,0,550,symmetric,symmetric,0.463762459
0.3,0,550,symmetric,auto,0.461443658
0.3,0,550,asymmetric,symmetric,0.465777591
0.3,0,550,asymmetric,auto,0.465709095
0.3,0,530,symmetric,symmetric,0.470144181
0.3,0,530,symmetric,auto,0.470710693
0.3,0,530,asymmetric,symmetric,0.467311991
0.3,0,530,asymmetric,auto,0.466468142
0.3,0,470,symmetric,symmetric,0.467556566
0.3,0,470,symmetric,auto,0.466648686
0.3,0,470,asymmetric,symmetric,0.467575691
0.3,0,470,asymmetric,auto,0.466394689
0.3,0.0075,550,symmetric,symmetric,0.468635184
0.3,0.0075,550,symmetric,auto,0.46623105
0.3,0.0075,550,asymmetric,symmetric,0.46839434
0.3,0.0075,550,asymmetric,auto,0.466857741
0.3,0.0075,530,symmetric,symmetric,0.467298347
0.3,0.0075,530,symmetric,auto,0.46567485
0.3,0.0075,530,asymmetric,symmetric,0.468894665
0.3,0.0075,530,asymmetric,auto,0.468254218
0.3,0.0075,470,symmetric,symmetric,0.468779774
0.3,0.0075,470,symmetric,auto,0.46853672
0.3,0.0075,470,asymmetric,symmetric,0.46542256
0.3,0.0075,470,asymmetric,auto,0.462304907
1,0.0075,550,symmetric,symmetric,0.474959771
1,0.0075,550,symmetric,auto,0.473770747
1,0.0075,550,asymmetric,symmetric,0.466416894
1,0.0075,550,asymmetric,auto,
1,0.0075,530,symmetric,symmetric,
1,0.0075,530,symmetric,auto,
1,0.0075,530,asymmetric,symmetric,
1,0.0075,530,asymmetric,auto,
1,0.0075,470,symmetric,symmetric,
1,0.0075,470,symmetric,auto,
1,0.0075,470,asymmetric,symmetric,
1,0.0075,470,asymmetric,auto,
