df,tfidf,K,alpha,eta,coherence
0.5,0.0075,170,asymmetric,auto,0.474732076
0.5,0.0075,175,asymmetric,auto,0.481035298
0.5,0.0075,180,asymmetric,auto,0.484216814
0.5,0.0075,185,asymmetric,auto,0.474816156
0.5,0.0075,190,asymmetric,auto,0.466686367
0.5,0.0075,195,asymmetric,auto,0.479971904
0.5,0.0075,200,asymmetric,auto,0.484074372
0.5,0.0075,205,asymmetric,auto,0.473817961
0.5,0.0075,210,asymmetric,auto,0.470448482
0.5,0.0075,215,asymmetric,auto,0.46763652
0.5,0.0075,220,asymmetric,auto,0.464604913
0.5,0.0075,225,asymmetric,auto,0.470533806
0.5,0.0075,230,asymmetric,auto,0.459211945
0.5,0.0075,235,asymmetric,auto,0.458507086
0.5,0.0075,240,asymmetric,auto,0.458313716
0.5,0.0075,245,asymmetric,auto,0.460669233
0.5,0.0075,250,asymmetric,auto,0.463938721
0.5,0.0075,255,asymmetric,auto,0.451479391
0.5,0.0075,260,asymmetric,auto,0.460284894
0.5,0.0075,265,asymmetric,auto,0.458482232
