df,tfidf,K,alpha,eta,coherence
0.5,0.0075,35,symmetric,symmetric,0.534070474
0.5,0.0075,35,symmetric,auto,0.529315652
0.5,0.0075,35,asymmetric,symmetric,0.539628036
0.5,0.0075,35,asymmetric,auto,0.546223891
0.5,0.0075,40,symmetric,symmetric,0.539250545
0.5,0.0075,40,symmetric,auto,0.524108414
0.5,0.0075,40,asymmetric,symmetric,0.545922741
0.5,0.0075,40,asymmetric,auto,0.535667911
0.5,0.0075,45,symmetric,symmetric,0.541751359
0.5,0.0075,45,symmetric,auto,0.539466458
0.5,0.0075,45,asymmetric,symmetric,0.541162073
0.5,0.0075,45,asymmetric,auto,0.531785632
0.5,0.0075,50,symmetric,symmetric,0.532153775
0.5,0.0075,50,symmetric,auto,0.541329708
0.5,0.0075,50,asymmetric,symmetric,0.545280814
0.5,0.0075,50,asymmetric,auto,0.543964005
0.5,0.0075,55,symmetric,symmetric,0.53046124
0.5,0.0075,55,symmetric,auto,0.548308724
0.5,0.0075,55,asymmetric,symmetric,0.535223477
0.5,0.0075,55,asymmetric,auto,0.531736595
0.5,0.0075,60,symmetric,symmetric,0.531902784
0.5,0.0075,60,symmetric,auto,0.53104507
0.5,0.0075,60,asymmetric,symmetric,0.545107616
0.5,0.0075,60,asymmetric,auto,0.552182974
0.5,0.015,35,symmetric,symmetric,0.536720794
0.5,0.015,35,symmetric,auto,0.544734685
0.5,0.015,35,asymmetric,symmetric,0.543345598
0.5,0.015,35,asymmetric,auto,0.523844545
0.5,0.015,40,symmetric,symmetric,0.536846056
0.5,0.015,40,symmetric,auto,0.532020034
0.5,0.015,40,asymmetric,symmetric,0.542781662
0.5,0.015,40,asymmetric,auto,0.543673947
0.5,0.015,45,symmetric,symmetric,0.529618012
0.5,0.015,45,symmetric,auto,0.528886942
0.5,0.015,45,asymmetric,symmetric,0.541490655
0.5,0.015,45,asymmetric,auto,0.532947119
0.5,0.015,50,symmetric,symmetric,0.545182845
0.5,0.015,50,symmetric,auto,0.54743307
0.5,0.015,50,asymmetric,symmetric,0.5243642
0.5,0.015,50,asymmetric,auto,0.543975771
0.5,0.015,55,symmetric,symmetric,0.542323779
0.5,0.015,55,symmetric,auto,0.546061881
0.5,0.015,55,asymmetric,symmetric,0.536516188
0.5,0.015,55,asymmetric,auto,0.5311516
0.5,0.015,60,symmetric,symmetric,0.524148723
0.5,0.015,60,symmetric,auto,0.543684216
0.5,0.015,60,asymmetric,symmetric,0.52842804
0.5,0.015,60,asymmetric,auto,0.523044239
1.0,0.0075,35,symmetric,symmetric,0.532290536
1.0,0.0075,35,symmetric,auto,0.535078481
1.0,0.0075,35,asymmetric,symmetric,0.52957823
1.0,0.0075,35,asymmetric,auto,0.545456547
1.0,0.0075,40,symmetric,symmetric,0.534717909
1.0,0.0075,40,symmetric,auto,0.524754853
1.0,0.0075,40,asymmetric,symmetric,0.525287093
1.0,0.0075,40,asymmetric,auto,0.526547181
1.0,0.0075,45,symmetric,symmetric,0.534840035
1.0,0.0075,45,symmetric,auto,0.54200299
1.0,0.0075,45,asymmetric,symmetric,0.528504513
1.0,0.0075,45,asymmetric,auto,0.540291999
1.0,0.0075,50,symmetric,symmetric,0.53748043
1.0,0.0075,50,symmetric,auto,0.526043868
1.0,0.0075,50,asymmetric,symmetric,0.53971624
1.0,0.0075,50,asymmetric,auto,0.530676957
1.0,0.0075,55,symmetric,symmetric,0.528920996
1.0,0.0075,55,symmetric,auto,0.528103495
1.0,0.0075,55,asymmetric,symmetric,0.522681339
1.0,0.0075,55,asymmetric,auto,0.549015729
1.0,0.0075,60,symmetric,symmetric,0.526614689
1.0,0.0075,60,symmetric,auto,0.536799052
1.0,0.0075,60,asymmetric,symmetric,0.527374132
1.0,0.0075,60,asymmetric,auto,0.520163908
1.0,0.015,35,symmetric,symmetric,0.5071297777215136
1.0,0.015,35,symmetric,auto,0.5090839237104505
1.0,0.015,35,asymmetric,symmetric,0.5260029482890487
1.0,0.015,35,asymmetric,auto,0.526542746060651
1.0,0.015,40,symmetric,symmetric,0.5191903161213525
1.0,0.015,40,symmetric,auto,0.5315724633009427
1.0,0.015,40,asymmetric,symmetric,0.5183628499291143
1.0,0.015,40,asymmetric,auto,0.5157901522937075
1.0,0.015,45,symmetric,symmetric,0.5199370950619628
1.0,0.015,45,symmetric,auto,0.533996418215269
1.0,0.015,45,asymmetric,symmetric,0.5266235112672749
1.0,0.015,45,asymmetric,auto,0.5226053574127179
1.0,0.015,50,symmetric,symmetric,0.5159591594892511
1.0,0.015,50,symmetric,auto,0.5190154821177949
1.0,0.015,50,asymmetric,symmetric,0.5307411346034926
1.0,0.015,50,asymmetric,auto,0.524588022518059
1.0,0.015,55,symmetric,symmetric,0.5313528407792568
1.0,0.015,55,symmetric,auto,0.523481419181724
1.0,0.015,55,asymmetric,symmetric,0.5089538882156097
1.0,0.015,55,asymmetric,auto,0.5346236003333589
1.0,0.015,60,symmetric,symmetric,0.5321432495901002
1.0,0.015,60,symmetric,auto,0.5349066316806982
1.0,0.015,60,asymmetric,symmetric,0.5188474157711277
1.0,0.015,60,asymmetric,auto,0.5043649199022616
