Topics,Labels,Groups,Terms
0,Graph Theory and Network Structures,Networks,"0.134*""graph"" + 0.075*""structure"" + 0.066*""node"" + 0.041*""tree"" + 0.024*""edge"" + 0.015*""structural"" + 0.013*""topology"" + 0.013*""network"" + 0.010*""vertex"" + 0.009*""topological"" + 0.008*""local"" + 0.007*""algorithm"" + 0.007*""propagation"" + 0.007*""represent"" + 0.007*""construct"" + 0.006*""neighborhood"" + 0.006*""neighbor"" + 0.006*""show"" + 0.005*""connect"" + 0.005*""embed"""
1,Control Systems and Dynamic Systems,Systems & Control,"0.050*""control"" + 0.039*""system"" + 0.026*""time"" + 0.022*""controller"" + 0.016*""design"" + 0.015*""delay"" + 0.015*""nonlinear"" + 0.014*""state"" + 0.013*""stability"" + 0.012*""dynamic"" + 0.012*""simulation"" + 0.011*""network"" + 0.011*""adaptive"" + 0.010*""effectiveness"" + 0.010*""neural"" + 0.009*""right_reserve"" + 0.009*""example"" + 0.009*""problem"" + 0.008*""scheme"" + 0.008*""function"""
2,Systems and Energy Management,Systems & Control,"0.043*""system"" + 0.019*""power"" + 0.014*""time"" + 0.011*""energy"" + 0.011*""sensor"" + 0.009*""traffic"" + 0.009*""real"" + 0.009*""operation"" + 0.008*""production"" + 0.008*""control"" + 0.007*""simulation"" + 0.007*""right_reserve"" + 0.007*""flow"" + 0.007*""load"" + 0.006*""cost"" + 0.006*""demand"" + 0.006*""vehicle"" + 0.006*""condition"" + 0.006*""process"" + 0.006*""monitoring"""
3,Multi-level Feature Fusion and Deep Learning,DL,"0.024*""multi"" + 0.020*""level"" + 0.019*""feature"" + 0.018*""module"" + 0.018*""dataset"" + 0.015*""information"" + 0.015*""network"" + 0.014*""fusion"" + 0.014*""performance"" + 0.013*""state_art"" + 0.012*""attention"" + 0.012*""achieve"" + 0.011*""model"" + 0.011*""scale"" + 0.010*""deep"" + 0.010*""experiment"" + 0.009*""design"" + 0.009*""representation"" + 0.008*""framework"" + 0.008*""extensive"""
4,Probability Distribution and Estimation Algorithms,Statistics,"0.030*""distribution"" + 0.020*""algorithm"" + 0.016*""probability"" + 0.014*""show"" + 0.012*""estimate"" + 0.012*""problem"" + 0.011*""bound"" + 0.010*""function"" + 0.010*""sample"" + 0.009*""provide"" + 0.009*""estimation"" + 0.008*""estimator"" + 0.008*""setting"" + 0.007*""number"" + 0.007*""gaussian"" + 0.007*""approximation"" + 0.007*""give"" + 0.007*""bayesian"" + 0.006*""optimal"" + 0.006*""case"""
5,Evolutionary Algorithm and Optimization,Genetic,"0.065*""algorithm"" + 0.032*""optimization"" + 0.030*""search"" + 0.018*""performance"" + 0.015*""local"" + 0.014*""strategy"" + 0.013*""population"" + 0.013*""improve"" + 0.013*""well"" + 0.013*""function"" + 0.013*""global"" + 0.012*""evolutionary"" + 0.011*""other"" + 0.011*""right_reserve"" + 0.011*""test"" + 0.011*""compare"" + 0.009*""new"" + 0.009*""benchmark"" + 0.008*""convergence"" + 0.008*""genetic"""
6,Urban Navigation and Localization,Navigation,"0.053*""location"" + 0.027*""trajectory"" + 0.023*""vehicle"" + 0.018*""mobile"" + 0.017*""road"" + 0.016*""localization"" + 0.016*""position"" + 0.014*""crowd"" + 0.013*""virtual"" + 0.013*""map"" + 0.012*""area"" + 0.012*""route"" + 0.012*""fingerprint"" + 0.012*""travel"" + 0.012*""city"" + 0.012*""building"" + 0.011*""environment"" + 0.010*""urban"" + 0.010*""path"" + 0.010*""place"""
7,Object Recognition and Visual Saliency,CV,"0.162*""object"" + 0.069*""visual"" + 0.033*""image"" + 0.028*""scene"" + 0.020*""category"" + 0.018*""part"" + 0.016*""saliency"" + 0.010*""recognition"" + 0.009*""appearance"" + 0.009*""model"" + 0.008*""cue"" + 0.008*""vision"" + 0.008*""salient"" + 0.008*""representation"" + 0.008*""task"" + 0.007*""show"" + 0.007*""region"" + 0.007*""dataset"" + 0.007*""map"" + 0.006*""learn"""
8,Object Detection,CV,"0.201*""detection"" + 0.077*""detect"" + 0.031*""detector"" + 0.022*""community"" + 0.016*""proposal"" + 0.012*""stage"" + 0.011*""cortical"" + 0.010*""pedestrian"" + 0.009*""dataset"" + 0.008*""box"" + 0.007*""performance"" + 0.007*""rate"" + 0.007*""accuracy"" + 0.007*""overlap"" + 0.006*""high"" + 0.006*""normal"" + 0.006*""real"" + 0.006*""show"" + 0.006*""false_positive"" + 0.006*""anchor"""
9,Cybersecurity & Network Communication,Cybersecurity,"0.050*""event"" + 0.037*""attack"" + 0.035*""service"" + 0.029*""communication"" + 0.025*""distribute"" + 0.023*""security"" + 0.015*""cloud"" + 0.014*""privacy"" + 0.013*""scheme"" + 0.013*""protocol"" + 0.011*""network"" + 0.011*""system"" + 0.009*""impulsive"" + 0.008*""access"" + 0.008*""server"" + 0.007*""resource"" + 0.007*""message"" + 0.007*""mechanism"" + 0.007*""private"" + 0.006*""provide"""
